,IDA21 (2024),,IDA20 (2021),,IDA19 (2019),,IDA18 (2016),,IDA17 (2013),,IDA16 (2010),,IDA15 (2007),,IDA14 (2005),,IDA13 (2002),,IDA12 (1999),,IDA11 (1996),,IDA10 (1993),,IDA9 (1990),,IDA8 (1987),,IDA7 (1984),,IDA6 (1980),,IDA5 (1977),,IDA4 (1973),,IDA3 (1970),,IDA2 (1968),,IDA1 (1963),,,,,,,,,,,,,,
,Share,"Amount (US$, millions)",Share,"*Amount (US$, millions)",Share,"*Amount (US$, millions)",Share,"Amount (SDR, millions)",Share,"Amount (SDR, millions)",Share,"Amount (SDR, millions)",Share,"Amount (SDR, millions)",Share,"Amount (SDR, millions)",Share,"Amount (SDR, millions)",Share,"Amount (SDR, millions)",Share,"Amount (SDR, millions)",Share,"Amount (SDR, millions)",Share,"Amount (SDR, millions)",Share,"Amount (SDR, millions)",Share,"Amount (SDR, millions)",Share,"Amount (SDR, millions)",Share,"*Amount (US$, millions)",Share,"*Amount (US$, millions)",Share,"*Amount (US$, millions)",Share,"*Amount (US$, millions)",Share,"*Amount (US$, millions)",,,,,,,,,,,,,
Austria,2.23%,532.73,2.21%,520.28,2.08%,488.1,1.94%,320.6,2.01%,344.15,2.01%,348.44,1.88%,303.79,1.72%,207.71,0.8%,78.16,0.78%,67.65,0.90%,45.46,0.98%,117,0.81%,93.43,0.70%,67.8,0.70%,57.62,0.69%,62.25,0.66%,49.7,0.69%,30.6,0.68%,16.32,0.70%,8.16,0.67%,5.04,,,,,,,,,,,,,
Belgium,,,2.27%,533.01,2.15%,505.29,2.02%,332.72,2.11%,361.41,2.03%,351.1,1.93%,312.52,1.82%,219.02,1.7%,155.31,1.55%,133.92,1.55%,78.29,1.69%,201.5,1.57%,180.9,1.68%,162.72,1.64%,134.84,1.70%,153.78,1.64%,124.6,1.72%,76.5,1.70%,40.8,1.74%,20.4,2.20%,16.5,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,0.03%,  6.50 ,0.01%,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,0.03%,  7.76 ,0.03%,6.89,0.03%,6.47,0.03%,4.25,,,0.03%,4.49,0.02%,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,0.09%,  20.72 ,0.08%,18.05,0.07%,16.94,0.07%,11.15,0.07%,12.46,0.07%,12.15,0.07%,11.2,0.06%,7.07,0.1%,5.01,0.05%,4.67,0.05%,2.53,0.08%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2.01%,  479.32 ,1.61%,378.3,1.47%,346.36,1.41%,232.58,1.47%,252.24,1.41%,244.98,1.35%,217.81,1.47%,177.45,0.2%,15.32,1.58%,136.51,1.30%,65.66,1.51%,180.47,1.32%,151.83,1.25%,121.07,1.18%,96.91,1.22%,109.85,1.16%,87.8,1.22%,54,1.10%,26.4,1.04%,12.12,1.00%,7.5,,,,,,,,,,,,,
Estonia,0.03%,  6.56 ,0.03%,6.14,0.02%,4.5,0.02%,3.08,0.02%,3.34,0.02%,2.85,0.01%,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,0.46%,  109.93 ,0.63%,148.67,0.54%,127.04,0.50%,83.27,1.33%,227.53,1.26%,218.43,1.12%,180.69,0.70%,84.78,0.6%,60.12,0.60%,51.83,0.50%,25.25,1.09%,130,1.22%,140.34,0.80%,77.49,0.70%,57.89,0.61%,54.92,0.54%,41,0.57%,25.2,0.51%,12.24,0.32%,3.72,0.31%,2.298,,,,,,,,,,,,,
France,5.63%,"  1,345.77 ",7.39%,"1,739.32",6.94%,"1,631.00",6.50%,"1,071.87",6.61%,"1,134.16",6.51%,"1,128.42",8.01%,1296.38,8.33%,1004.99,6.4%,601.2,7.29%,630.72,7.30%,368.71,7.94%,949,7.71%,887.6,7.30%,707.07,6.43%,529.7,5.45%,492.47,5.45%,413.3,5.72%,253.545,6.26%,150,8.30%,97.2,8.25%,61.872,,,,,,,,,,,,,
Germany,7.35%,"  1,758.04 ",8.21%,"1,931.15",7.71%,"1,811.75",7.80%,"1,287.11",7.99%,"1,369.47",8.36%,"1,448.04",8.69%,1405.97,9.64%,1163.23,11.0%,1032.23,10.99%,950.4,11.00%,555.58,11.97%,1430,11.65%,1342,11.50%,1113.88,11.33%,932.94,12.67%,1144.23,11.06%,838.8,11.60%,514.5,9.76%,234,10.00%,117,9.68%,72.6,,,,,,,,,,,,,
Greece,,,,,0.04%,10.1,0.07%,11.51,,,,,0.28%,45.53,0.14%,17.07,0.1%,11.59,0.12%,10,0.05%,2.53,0.06%,6.8,,,0.05%,4.84,0.05%,3.84,0.05%,4.58,,,,,,,,,,,,,,,,,,,,,,,
Hungary,0.10%,  23.24 ,0.09%,20.63,0.08%,19.36,0.08%,13.25,0.08%,13.5,0.08%,13.48,0.08%,12.17,0.07%,8.59,0.1%,5.95,0.06%,5.13,0.06%,3,0.08%,10,0.09%,10.92,0.11%,10.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,0.64%,  153.21 ,0.54%,126.44,0.49%,114.04,0.44%,71.96,0.46%,78.16,0.00%,,0.55%,88.29,0.48%,58.01,0.4%,34.83,0.24%,20.83,0.18%,9.25,0.13%,15.4,0.12%,14,0.11%,10.65,0.11%,8.83,0.11%,10.07,0.11%,8.5915,0.17%,7.5,,,,,,,,,,,,,,,,,,,
Italy,3.32%,  794.20 ,3.00%,705.88,2.82%,662.24,2.76%,455.74,2.89%,495.04,3.05%,529.02,4.68%,757.84,4.45%,536.94,4.1%,380.76,3.80%,328.32,4.35%,219.71,5.77%,689,5.43%,625,4.65%,450.39,4.19%,345.21,3.90%,352.42,3.90%,295.9,4.09%,181.35,4.03%,96.72,4.13%,48.36,4.00%,30,,,,,,,,,,,,,
Latvia,0.05%,  11.50 ,0.03%,7.21,0.02%,4.33,0.01%,2.13,0.01%,2.31,0.01%,2.25,0.01%,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,0.05%,  12.74 ,0.03%,7.22,0.02%,5.26,0.01%,2.45,0.01%,2.27,0.01%,2.05,0.01%,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,0.34%,  82.29 ,0.31%,73.06,0.29%,68.55,0.27%,45.13,0.26%,43.77,0.24%,41.76,0.23%,36.82,0.20%,23.89,0.1%,10.02,0.10%,8.64,0.12%,6,0.06%,7,0.05%,5.84,0.05%,4.84,0.05%,4.01,0.05%,4.58,0.05%,3.6,0.05%,2.25,0.05%,1.2,0.05%,0.6,0.10%,0.75,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,4.24%,"  1,013.09 ",4.29%,"1,009.96",4.02%,944.55,3.62%,597.74,3.79%,649.28,3.88%,671.43,3.68%,595.52,3.25%,392.38,2.8%,260.52,2.60%,224.64,3.30%,166.68,3.82%,456,3.35%,385.41,3.00%,290.58,2.95%,242.59,3.04%,274.61,2.86%,216.7,2.99%,132.75,2.82%,67.56,2.27%,26.52,2.20%,16.5,,,,,,,,,,,,,
Poland,0.17%,  40.67 ,0.10%,22.4,0.09%,20.2,0.08%,13.83,0.04%,6.92,0.04%,6.74,0.04%,5.98,0.04%,4.28,0.0%,3.01,0.03%,2.59,0.03%,1.52,0.04%,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,0.08%,  19.97 ,0.06%,14.24,0.06%,13.36,0.05%,8.8,0.05%,8.68,0.11%,19.62,0.25%,40.32,0.24%,28.49,0.2%,20.04,0.20%,17.28,0.20%,10.1,0.13%,15.5,,,,,0.06%,4.57,0.06%,5.33,,,,,,,,,,,,,,,,,EU,UK,US,Japan,Canada,China,KSA
Romania,0.03%,  6.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDA21,30.96%,10.53%,16.72%,11.58%,5.00%,6.27%,2.93%
Slovak Republic,0.02%,  3.87 ,0.01%,3.44,0.01%,3.22,0.01%,2.13,0.01%,2.31,0.01%,2.25,0.01%,1.99,0.02%,1.88,0.0%,1.32,0.04%,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDA20,37.00%,8.35%,14.88%,14.62%,5.04%,5.61%,2.98%
Slovenia,0.03%,  7.76 ,,,0.03%,6.17,0.02%,4,0.02%,3.04,0.03%,5.97,0.03%,5.62,0.03%,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDA19,34.53%,16.58%,12.79%,13.74%,4.73%,5.11%,1.70%
Spain,1.81%,  433.40 ,1.48%,348.14,1.39%,327.38,,,1.48%,253.31,3.98%,689.34,3.87%,625.83,2.54%,306.54,1.9%,180.36,1.39%,120.1,,,0.87%,104,0.74%,85,0.51%,49.4,0.45%,37.18,0.42%,38.14,0.28%,21,0.30%,13.333,,,,,,,,,,,,IDA18,31.86%,17.36%,16.74%,13.80%,4.49%,2.59%,0.51%
Sweden,3.24%,  774.28 ,4.59%,"1,079.61",4.15%,973.59,4.12%,679.9,4.65%,797.85,3.83%,663.56,3.64%,588.82,4.80%,579.24,2.8%,262.52,2.62%,226.37,2.62%,132.33,2.91%,348,2.66%,305.99,2.57%,248.93,2.51%,206.86,3.04%,274.61,3.87%,293.8,4.06%,180,4.25%,102,2.06%,24.12,2.00%,15,,,,,,IDA17,35.34%,17.50%,14.98%,13.47%,5.27%,1.16%,0.45%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDA16,36.97%,15.56%,15.66%,14.09%,5.25%,0.62%,0.42%
Total EU MS,31.98%,7644.04,37.00%,8703.37,34.53%,8109.8,31.86%,5255.2,35.34%,6061.2,36.97%,6406.37,40.42%,6543.04,40.01%,4825.66,33.2%,3118.27,34.02%,2943.02,33.51%,1692.6,39.12%,4674.17,36.72%,4228.26,34.28%,3320.31,32.35%,2662.99,33.02%,2981.84,31.57%,2394.7915,33.18%,1471.528,31.16%,747.24,30.60%,358.2,30.41%,228.06,,,,,,IDA15,40.42%,17.31%,15.01%,12.32%,4.93%,0.12%,0.30%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDA14,40.01%,15.44%,16.14%,14.34%,4.43%,0.00%,0.28%
UK,10.54%,"  2,519.56 ",8.35%,"1,965.02",16.58%,"3,893.63",17.36%,"2,863.10",17.50%,"3,000.79",15.56%,"2,696.08",17.31%,2802.29,15.44%,1862.34,10.8%,1016.21,7.29%,630.72,6.15%,310.62,6.69%,799.18,6.80%,782.49,6.70%,648.95,6.62%,544.78,10.24%,924.58,10.73%,814.3,11.26%,499.5,12.97%,311.04,13.29%,155.52,12.88%,96.6,,,,,,IDA13,33.21%,10.82%,23.99%,17.08%,4.29%,#REF!,0.42%
EU (+ UK),42.52%,"  10,163.60 ",45.35%,"10,668.39",51.10%,12003.43,49.22%,8118.3,52.84%,9061.99,52.53%,9102.45,57.73%,9345.33,55.44%,6688,44.0%,4134.48,41.32%,3573.74,39.66%,2003.22,45.81%,5473.35,43.52%,5010.75,40.97%,3969.26,38.97%,3207.77,43.26%,3906.42,42.30%,3209.0915,44.44%,1971.028,75.29%,1805.52,43.89%,513.72,43.29%,324.66,,,,,,IDA12,34.02%,7.29%,20.84%,18.68%,3.75%,0.00%,0.65%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDA11,33.51%,6.15%,20.86%,20.00%,3.75%,0.00%,0.65%
Canada,5.01%,"  1,197.60 ",5.04%,"1,184.79",4.73%,"1,111.54",4.49%,741.1,5.27%,903.98,5.25%,908.9,4.93%,797.55,4.43%,534.4,4.3%,402.8,3.75%,324,3.75%,189.4,4.35%,519.91,4.82%,554.75,4.75%,460.08,4.72%,388.15,4.36%,393.61,5.90%,447.9,6.19%,274.5,6.26%,150,5.74%,67.2,5.56%,41.7,,,,,,IDA10,39.12%,6.69%,22.70%,21.76%,4.35%,,0.91%
China,6.28%,"  1,500.05 ",5.61%,"1,320.00",5.11%,"1,200.00",2.59%,427.94,1.16%,199.05,0.62%,107.02,0.12%,19.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDA9,36.72%,6.80%,21.92%,21.05%,4.82%,,2.54%
Japan,11.60%,"  2,772.14 ",14.62%,"3,438.78",13.74%,"3,226.16",13.80%,2276.14,13.47%,2310.10,14.09%,2442.02,12.32%,1994.3,14.34%,1729.52,17.1%,1603.29,18.68%,1615.68,20.00%,1010.15,21.76%,2600,21.05%,2423.77,18.70%,1811.26,20.17%,1660.82,14.85%,1340.68,10.44%,792,11.16%,495,6.00%,144,5.68%,66.48,5.50%,41.25,,,,,,IDA8,34.28%,6.70%,25.00%,18.70%,4.75%,0.00%,3.25%
Korea,2.59%,  620.10 ,2.19%,515.82,1.92%,451.66,1.74%,287,1.48%,253.9,1.30%,224.61,1.13%,183.4,1.07%,128.58,1.0%,91.18,0.91%,78.62,0.30%,15.15,0.31%,36.58,0.25%,29,0.10%,9.69,0.10%,8.59,0.03%,2.29,0.01%,1,,,,,,,,,,,,,,IDA7,32.35%,6.62%,26.48%,20.17%,4.72%,,3.67%
Norway,1.96%,  468.21 ,1.66%,391.65,1.51%,355.69,1.42%,235.03,2.04%,349.37,1.73%,300.42,1.83%,295.62,1.96%,236.72,1.8%,173.44,1.42%,122.69,1.42%,71.72,1.55%,184.6,1.44%,165.84,1.37%,132.7,1.25%,103.18,1.22%,109.85,1.06%,80.6,1.12%,49.5,1.00%,24,0.91%,10.68,0.88%,6.6,,,,,,IDA6,33.02%,10.24%,27.37%,14.85%,4.36%,,3.29%
Saudi Arabia,2.93%,  700.00 ,2.98%,700,1.70%,400,0.51%,83.4,0.45%,77.58,0.42%,73.58,0.30%,48.34,0.28%,34.16,0.4%,39.53,0.65%,56.33,0.65%,32.92,0.91%,108.47,2.54%,291.98,3.25%,314.79,3.67%,301.75,3.29%,297.5,3.30%,250,,,,,,,,,,,,,,IDA5,31.57%,10.73%,31.64%,10.44%,5.90%,,3.30%
Switzerland,,655.74,3.08%,723.64,2.91%,683,2.86%,472,3.10%,530.89,2.72%,471.68,2.59%,418.81,2.67%,322.4,2.6%,243.49,2.43%,209.95,2.43%,122.73,1.93%,230,1.60%,184.46,,,,,,,,,,,,,,,,,,,,,,IDA4,33.18%,11.26%,33.82%,11.16%,6.19%,,
United States,13.39%,"  3,200.00 ",14.88%,"3,500.00",12.79%,"3,004.20",16.74%,2761.49,14.98%,2568.64,15.66%,2712.79,15.01%,2430.34,16.14%,1947.19,24.0%,2252.93,20.84%,1802.3,20.86%,1053.59,22.70%,2711.69,21.92%,2523.81,25.00%,2421.47,26.48%,2180.11,27.37%,2471.53,31.64%,2400,33.82%,1500,40.03%,960,41.01%,480,41.60%,312,,,,,,IDA3,31.16%,12.97%,40.03%,6.00%,6.26%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDA2,30.60%,13.29%,41.01%,5.68%,5.74%,,
Total Replenishment,,"23,902.96",,"23,524.40",,"23,488.04",,"16,494.55",,"17,149.58",,"17,327.12",,16187.98,,12062.64,,9389.43,,8649.95,,5050.77,,11947.9,,11514.8,,9687.12,,8232.07,,9030.71,,7586.19288,,4435.123,,2398.08,,1170.48,,750,,,,,,IDA1,30.41%,12.88%,41.60%,5.50%,5.56%,,